Asset NO.(SAP),รหัสครุภัณฑ์,รายละเอียดสินทรัพย์,วันที่ขึ้นทะเบียนสินทรัพย์,หน่วยนับ,Price,life_time,ชนิด,ลักษณะ,หน่วยงาน,ชื่อหน่วยงาน
10000016206,630101502000096,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016207,630101502000097,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016208,630101502000098,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016209,630101502000099,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016210,630101502000100,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016211,630101502000101,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016212,630101502000102,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016213,630101502000103,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016214,630101502000104,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016215,630101502000105,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016216,630101502000106,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016217,630101502000107,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000016218,630101502000108,พัดลมดูดอากาศ พัดลมระบายอากาศ CEILING Fan type 50 CFM.,2020-09-24,เครื่อง,13240.7,5.0,A015 พัดลม,A023 พัดลมดูดอากาศ,0213,กองอาคารสถานที่
10000024650,610101801000001,ลิฟท์ ลิฟท์โดยสารชนิดไม่มีห้องเครื่อง จอดรับ-ส่ง 4 ชั้น (ชั้น 1-ชั้น 4),2018-06-15,ตัว,2606100.0,5.0,A018 ลิฟท์,A027 ลิฟท์,0213,กองอาคารสถานที่
10000024652,610101801000002,ลิฟท์ ลิฟท์โดยสารชนิดไม่มีห้องเครื่องจอดรับ-ส่ง 11 ชั้น (ชั้น 1-ชั้น ดาดฟ้า),2018-06-15,ตัว,3355800.0,5.0,A018 ลิฟท์,A027 ลิฟท์,0213,กองอาคารสถานที่
10000024777,630101401000314,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024780,630101401000315,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024783,630101401000316,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024786,630101401000317,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024789,630101401000318,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024792,630101401000319,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024795,630101401000320,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024798,630101401000321,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024801,630101401000322,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
